English,Arabic,Description
Channel,قناة سعرية,في بعض الأحيان، تتحرك الأسعار بين خطين متوازيين، ونطلق على هذه الخطين القناة السعرية. خط الإتجاه و خط القناة. خط الإتجاه هو الخط الذي يراقب الجانب الأقوى في الإتجاه وبالتالي يرسم أسفل القيعان في الاتجاه الصاعد وفوق القمم في الإتجاه الهابط. أما خط القناة هو الخط الذي يراقب الجانب الأضعف في الإتجاه وبالتالي يتم رسمه فوق القمم في الاتجاه الصاعد وأسفل القيعان في الاتجاه الهابط.
Channel Line,الخط القناة,خط القناة أو الخط الموازي هو خط موازي لخط الإتجاه وهو الخط الذي يراقب الجانب الأضعف في الإتجاه وبالتالي يتم رسمه فوق القمم في الاتجاه الصاعد وأسفل القيعان في الاتجاه الهابط.
Chief Executive Officer/ Executive Member,عضو تنفيذي / الرئيس التنفيذي,الشخحس الذى يعينه مجلس إدارة الشركة من بين أعضاء المجلس أو من غيرهم وتكون تبعيته لمجلس الإدارة مباشرة، يناط به إدارة كافة الأعمال التنفيذية المتعلقة بالأنشطة الأساسية للشركة، وذلك وفقاً للسؤوليات والصلاحيات الممنوحة له، ويشمل كذلك المدير العام للشركة ذات المسؤولية المحدودة
Class of securities,فئة من فئات الأوراق المالية,فئة من فئات الأوراق المالية
Classified financial statements,بيانات مالية مصنفة,بيانات مالية مصنفة إلى مجموعات مثل الأصول المتداولة، الأصول الثابتة، المطلوبات المتداولة، المطلوبات طويلة الأجل وحقوق المالكين
Clearance,المقاصة,إجراءات التدقيق التي تتم بعد تنفيذ التداول وقبل التسوية
Clearing,عملية التقاص,العملية التي يتم بموجبها احتساب صافي حقوق والتزامات أطراف التداول الناشئة عن أي عقد تداول وذلك لتسليم الأوراق المالية أو لتسديد قيمتها في التاريخ المحدد للتسوية
Clearing,العملية المركزية لإتمام عملية التسوية,العملية المركزية لإتمام عملية التسوية
Clearing Agency,وكالة مقاصة,الجهة التي تقوم بالتقاص وتسوية تداولات الأوراق المالية وعملية الإيداع المركزي للأوراق المالية، والخدمات الأخرى المتعلقة بذلك، كما تعتبر الكيانات المركزية لإيداع الأوراق المالية وأنظمة تسوية الأوراق المالية والوسطاء المركزيون أحد أنواع وكالات المقاصة
Clearing agent,دار المقاصة,الجهة التي تقوم بأعمال المقاصة لعدد كبير من الأطراف
Clearing and settlement procedures,إجراءات المقاصة والتسوية,إجراءات المقاصة والتسوية
Clearing broker,وسيط المقاصة (بيت المقاصة),وسيط المقاصة (بيت المقاصة)
Clearing house,غرفة المقاصة,"(1) هيئة أو مكان تقوم البنوك من خلاله بتبادل الشيكات والحوالات المسحوبة على بعضها البعض وتسوية أرصدتها اليومية
(2) هيئة لتسجيل وتوثيق وتصفية المعاملات في أسواق السلع والأسهم"
Clearing house automated payment system,نظام تسوية ومقاصة يسمح بالتوزيعات النقدية بالجنية الإسترليني (الإنجليزي),نظام تسوية ومقاصة يسمح بالتوزيعات النقدية بالجنية الإسترليني (الإنجليزي)
Clearing house funds,نظام تسوية ومقاصة حسب التداولات في البورصة الأمريكية,نظام تسوية ومقاصة حسب التداولات في البورصة الأمريكية
Clearing house interbank payment system(CHIPS),نظام تسوية ومقاصة حسب التداولات ذات القيم المالية الكبيرة على مستوى العالم,نظام تسوية ومقاصة حسب التداولات ذات القيم المالية الكبيرة على مستوى العالم
Clearing house statement,بيان غرفة المقاصة,تقرير يقدمه السمسار إلى بورصة السلع أو الأوراق المالية عن نشاطه وعملياته في السوق. ويتم من خلال تقرير كل سمسار تحديد المبالغ المستحقة أو الواجبة الدفع لكل سمسار
Clearing member,المتعهد بتسوية المشتقات المسجلة باسمه لدى المقاصة (انجليزي),المتعهد بتسوية المشتقات المسجلة باسمه لدى المقاصة (انجليزي)
Clearing organization,منظمة المقاصة بضمان التسوية للعمليات داخل البورصة أو خارجها,منظمة المقاصة بضمان التسوية للعمليات داخل البورصة أو خارجها
Clearing system,نظام المقاصة والتسوية,نظام المقاصة والتسوية
Closed Shareholding Company,شركة المساهمة المقفلة,هي الشركة التي يكون الاكتتاب في الأسهم المصدرة عنها مقتصرا على مؤسسيها
Closing,الإفقال,غالباً يستخدم في سعر الإقفال - يوم الإقفال - طبعاً بالنسبة للتداولات والتعاملات
Closing Price,سعر إغلاق (اقفال) السهم,يمثل سعر آخر صفقة تمت على السهم خلال فترة التداول اليومي
Code of professional ethics,قواعد الأخلاق المهنية,قواعد وتعليمات تحكم السلوك المهني للمحاسبين تصدر عن هيئة مختصة مثل الإتحاد الدولي للمحاسبين والمعهد الأمريكي للمحاسبين القانونيين
Collateral,"(1) ضمان
(2) ضمان إضافي","(1) ملك مرهون كضمان دين
(2) ضمان إضافي"
Collateralize,يضمن ديناً بالرهن,يقدم أصولاً ترهن ضماناً لسداد دين
Collaterlaized,مضمون - قروض مضمونة الأصول,مضمون - قروض مضمونة الأصول
