
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
Checkbox Properties,Propriétés de la case à cocher,Ankreuzfeldeigenschaften,خصائص الاتصال
Chisq,Khi-carré,Chisq,شيوس
Choose export formatting:,Choisir le format de l'exportation :,Export-Format wählen:,إختر كلمة سر للحلقة الإفتراضية
Chris Lahey,Chris Lahey,Chris Lahey,بحيرة الصّين
Christian Date Functions,Fonctions de dates du calendrier chrétien,Christliche Datumsfunktionen,دالات التاريخ و الساعة
Clear,Vider,Leeren,امسح
Clear Background,Effacer l'arrière-plan,Hintergrund entfernen,خلفية سوداء
Clear Borders,Effacer les encadrements,Ränder entfernen,حدود الجداول
Clear Contents,Effacer le contenu,Inhalt entfernen,امسح الملاحظات
Clear Print Area,Effacer la zone d'impression,Druckbereich löschen,امسح الخانة
Clear all fields from the sort specification,Efface tous les champs des spécifications de tri,Alle Felder aus der Sortierangabe entfernen,افتح ملف من موقع مخصّص
Clear list of columns,Effacer la liste des colonnes,Liste mit Spalten entfernen,عدد الأعمدة
Clear the border around the selection,Efface l'encadrement autour de la sélection,Den Rand um die Auswahl entfernen,مسح المنتقى
Clear the list of source areas,Effacer la liste des zones sources,Die Liste von Quellbereichen löschen,امسح قائمة الكلمات المشابهة
Clear the selected cells' contents,Efface le contenu des cellules sélectionnées,Markierten Zelleninhalt löschen,حذف المراسَلين المنتقَيين
Clear the selected cells' contents in the filtered rows,Efface le contenu des cellules sélectionnées dans les lignes filtrées,Inhalte der gewählten Zellen in den gefilterten Zeilen löschen,حذف المراسَلين المنتقَيين
Clear the selected cells' formats and hyperlinks,Efface les formats et hyperliens des cellules sélectionnées,Formatierungen und Verknüpfungen der markierten Zellen löschen,استعمل التنسيق المختار
Clear the selected cells' formats and hyperlinks in the filtered rows,Efface les formats et hyperliens des cellules sélectionnées dans les lignes filtrées,Formatierungen und Verknüpfungen der gewählten Zellen in den gefilterten Zeilen löschen,توجيه الرسالة المنتقاة إلى شخص ما كمُرفق
"Clear the selected cells' formats, comments, and contents","Efface les cellules sélectionnées : formats, commentaires et contenu","Format, Kommentare und Inhalt der markierten Zellen löschen",توجيه الرسالة المنتقاة إلى شخص ما كمُرفق
"Clear the selected cells' formats, comments, and contents in the filtered rows","Efface les formats, commentaires et contenu des cellules sélectionnées dans les lignes filtrées","Formatierungen, Kommentare und Inhalte der gewählten Zellen in den gefilterten Zeilen löschen",توجيه الرسالة المنتقاة إلى شخص ما كمُرفق
ClearBorders,Effacer les encadrements,Ränder entfernen,حدود الجداول
Clearing %s in %s,Effacement de %s dans %s,%s in %s wird entfernt,وضع %s داخل %s
Clearing comment of %s,Effacement du commentaire de %s,Löschen des Kommentars von %s,ترتيب أبناء %s
Clicking checkbox,Clic sur une case à cocher,Ankreuzfeld anklicken,انتقي صندوق الضبط
Clicking in list,Clic dans une liste,In die Liste klicken,قائمة بريدية
Clicking radiobutton,Clic sur le bouton radio,Radioknopf anklicken,أنشئ حساباً
Close the current file,Ferme le fichier actuel,Die aktuelle Datei schließen,أغلق المحفوظة الحاليّة
Comment...,Commentaires...,Kommentar …,التعليق:
Comments,Commentaires,Kommentare,التعليق:
Comments:,Commentaires :,Kommentare:,التعليق:
Covariance Matrix,Matrice de covariance,Kovarianzmatrix,كرواتي
Covariance...,Covariance...,Kovarianz …,توازن اللون
Collapse an outline group,Comprime un groupe,Diese Übersichtsgruppe zusammenklappen,قلّص كل الصفوف
Collapse columns,Comprimer les colonnes,Spalten zusammenziehen,اختر الأعمدة
Collapse rows,Comprimer les lignes,Zeilen zusammenziehen,قلّص كل الصفوف
Collect non-matching items,,,تعذّر إيجاد المتصفح الرئيسي
Colon (:),Deux-points (:),Doppelpunkt (:),نقطتان
Cols,Colonnes,Spalten,تجب
Column,Colonne,Spalte,الأعمدة
Column %d,Colonne %d,Spalte %d,عمود %d
Column %i,Colonne %i,Spalte %i,العمود
Column %s,Colonne %s,Spalte %s,الأعمدة
"Column %s (""%s"")",Colonne %s (« %s »),Spalte %s (»%s«),الأعمدة
Column Width,Largeur de colonne,Spaltenbreite,عرض العمود
Column chart,Diagramme en colonnes,Säulendiagramm,عمود لاحق
Column major,Colonne principale,Hauptspalte,عمود لاحق
Column width in points:,Largeur de colonne en points :,Spaltenbreite in Punkten:,عرض العمود
Columns,Colonnes,Spalten,الأعمدة
Columns number in the sheet,,,اسم الخط المنتقى
Combo Box,Liste déroulante,Kombinationsfeld,إطار كومبو
"Comma (,)","Virgule (,)","Komma (,)",فاصلة
Comma or tab separated values (CSV/TSV),Fichiers CSV/TSV (valeurs séparées par des virgules ou des tabulations),Durch Kommata oder Tabulatoren unterteilte Werte (CSV/TSV),تنسيق القيم المفصولة بفاصلة (.csv)
Comma separated values (CSV),Fichier CSV (valeurs séparées par des virgules),Durch Kommata unterteilte Werte (CSV),تنسيق القيم المفصولة بفاصلة (.csv)
Comment,Commentaires,Kommentare,التعليق:
Comment in cell %s!%s,Commentaire dans la cellule %s!%s,Kommentar in Zelle %s!%s,قائمة التعليقات
Comment:,Commentaires :,Kommentar:,التعليق:
Comments:,Commentaires :,Kommentare:,التعليق:
Company:,Société :,Firma:,الشركة:
Complex,Complexe,Komplex,مُنجز
Complex Functions,Fonctions complexes,Komplexe Funktionen,وظائف المجموعات
Condition:,Condition :,Bedingung:,الحالات:
Conditions,,,الحالات:
Confidence (95%),Confiance (95 %),Zuversicht (95%),خصوصي
Confidence level:,Niveau de confiance :,Vertrauenswert:,خصوصي
Configure,Configurer,Konfigurieren,اللبّ
Configure Adjustment,Configurer l'ajustement,Justierung konfigurieren,اللبّ
Configure Button,Configurer un bouton poussoir,Knopf konfigurieren,حدّث الزر اللولبي
Configure Checkbox,Configurer une case à cocher,Ankreuzfeld konfigurieren,اللبّ
Configure List,Configurer une boîte de liste,Konfigurationsliste,اللبّ
Configure Radio Button,Configurer un bouton radio,Radio-Knopf konfigurieren,حدّث الزر اللولبي
Configure Scrollbar,Configurer une barre de défilement,Rollbalken konfigurieren,انشيء %s
Configure Slider,Configurer un curseur,Schieberegler konfigurieren,اللبّ
Configure Spinbutton,Configurer un compteur,Einstellfeld konfigurieren,حدّث الزر اللولبي
Consolidating to (%s),Consolidation vers (%s),Konsolidierung nach (%s),يجري الإتصال بـ: %s
Constant,Constante,Konstante,ثابت
Constant Format,,,لايمكن التهيئة
Constraint,Contrainte,Einschränkung,ثابت
Constraints,Contraintes,Nebenbedingungen,ثوابت
Constructed ranges use simple references,Les intervalles générés utilisent des références simples,Erstellte Bereiche verwenden einfache Bezüge,غيّر تفضيلاتك
Content,Contenu,Inhalt,المحتويات
Content,Contenu,Inhalt,المحتويات
Control whether column headers are shown.,,,أظهر أزرار رؤوس العمود
Control whether the grid is shown.,Détermine si la grille est affichée.,"Kontrollieren, ob das Gitter angezeigt wird.",فيما إذا يتم عرض قائمة الصندوق
Cool,Super,Kühl,مثير
Copy,Copier,Kopieren,انسخ
Copy Formats,Copier les formats,Formate kopieren,انسخ التاريخ
Copy Values,Copier les valeurs,Werte kopieren,انسخ التاريخ
Copy and Paste,Copier coller,Kopieren und Einfügen,انسخ التاريخ
Copy down,Copier en bas,Von oben kopieren,اذهب إلى الأسفل
Copy format to right,Copier le format à droite,Format nach rechts kopieren,من اليسار إلى اليمين
Copy right,Copier à droite,Von links kopieren,حقوق النسخ
Copy the selection,Copier la sélection,Markierung kopieren,نسخ المنتقى
Copy to New Graph Sheet,Copier vers une nouvelle feuille graphique,In neues Diagrammblatt kopieren,إجتماع جديد
Core,Cœur,Kern,اللبّ
Core charting engine.,Cœur du moteur de dessin.,Kern-Diagramm-Engine,خدمة مشاركة المجلدات
Correct TWo INitial CApitals,Corriger les doubles MAjuscules INitiales,ZWei ANfangsgroßbuchstaben korrigieren,العنوان الأولي:
Correlated Random Number Generator,Générateur de nombres aléatoires corrélés,Erzeuger von korrelierten Zufallszahlen,رقم عشوائي
Correlated Random Numbers,Nombres aléatoires corrélés,Abhängige Zufallszahlen,رقم عشوائي
Correlated Random Numbers (%s),Nombres aléatoires corrélés (%s),Abhängige Zufallszahlen (%s),رقم عشوائي
Correlation,Corrélation,Korrelation,العلاقة
Correlation (%s),Corrélation (%s),Korrelation (%s),يجري إنشاء %s...
Correlations,Corrélations,Korrelationen,تهاني
Could not allocate memory for %d. field name.,Impossible d'allouer de la mémoire pour le nom du champ %d.,Speicher für Spaltenname %d konnte nicht reserviert werden.,لم يمكن تحديد ذاكرة للواجهة
Could not allocate memory for record data.,Impossible d'allouer de la mémoire pour les données de l'enregistrement.,Speicher für die Datenerfassung konnte nicht reserviert werden.,لم يمكن تحديد ذاكرة للواجهة
Could not allocate memory for record.,Impossible d'allouer de la mémoire pour l'enregistrement.,Für den Datensatz konnte kein Speicher reserviert werden.,لم يمكن تحديد ذاكرة للواجهة
Could not create output file.,Impossible de créer le fichier de sortie.,Ausgabedatei konnte nicht erzeugt werden.,تعذّر تحديد موقع شعار جنوم.
Could not create the ANOVA (single factor) tool dialog.,Impossible de créer la boîte de dialogue de l'outil « ANOVA (à un facteur) ».,Der Varianzanalyse-Dialog konnte nicht erzeugt werden.,لا يمكن انشاء المجلّد المرسل اليه: %s.
Could not create the ANOVA (two factor) tool dialog.,Impossible de créer la boîte de dialogue de l'outil « ANOVA (à deux facteurs) ».,Der Varianzanalyse (zweifaktoriell)-Dialog konnte nicht erzeugt werden.,لا يمكن انشاء المجلّد المرسل اليه: %s.
Could not create the Advanced Filter dialog.,Impossible de créer la boîte de dialogue « Filtre avancé ».,Der komplexe Filterdialog konnte nicht erstellt werden.,لا يمكن إنشاء المحفوظة
Could not create the Chi Squared Tests tool dialog.,Impossible de créer la boîte de dialogue de l'outil « Tests Khi-carré ».,Der Werkzeugdialog zum Chi-Quadrat-Test konnte nicht erzeugt werden.,لم أستطع إنشاء رسالة.
Could not create the Consolidate dialog.,Impossible de créer la boîte de dialogue « Consolidation ».,Der Konsolidieren-Dialog konnte nicht erzeugt werden.,لا يمكن انشاء المجلّد المرسل اليه: %s.
Could not create the Correlated Random Tool dialog.,Impossible de créer la boîte de dialogue de l'outil « Nombres aléatoires corrélés ».,Der korrelierte Zufalls-Werkzeugdialog konnte nicht erzeugt werden.,لا يمكن انشاء المجلّد المرسل اليه: %s.
Could not create the Correlation Tool dialog.,Impossible de créer la boîte de dialogue de l'outil « Corrélation ».,Der Korrelation-Dialog konnte nicht erzeugt werden.,لا يمكن انشاء المجلّد المرسل اليه: %s.
Could not create the Covariance Tool dialog.,Impossible de créer la boîte de dialogue de l'outil « Covariance ».,Der Kovarianz-Dialog konnte nicht erzeugt werden.,لا يمكن إنشاء المحفوظة
Could not create the Data Shuffling dialog.,Impossible de créer la boîte de dialogue « Réarrangement des données ».,Der Datenmischdialog konnte nicht erzeugt werden.,لم يمكن صنع خيط عمل لإيجاد الفروق
Could not create the Data Table definition dialog.,Impossible de créer le dialogue de définition d'un « Tableau de données ».,Der Definitionsdialog für das Datenblatt konnte nicht erzeugt werden.,لم يمكن صنع خيط عمل لإيجاد الفروق
Could not create the Delete Cell dialog.,Impossible de créer la boîte de dialogue « Suppression de cellules ».,Der Zelle löschen-Dialog konnte nicht erzeugt werden.,تعذّر تحديد موقع شعار جنوم.
Could not create the Descriptive Statistics Tool dialog.,Impossible de créer la boîte de dialogue de l'outil « Statistiques descriptives ».,Der Beschreibende Statistik-Dialog konnte nicht erzeugt werden.,لا يمكن انشاء المجلّد المرسل اليه: %s.
Could not create the Exponential Smoothing Tool dialog.,Impossible de créer la boîte de dialogue de l'outil « Lissage exponentiel ».,Der Exponentielles Glätten-Dialog konnte nicht erzeugt werden.,لا يمكن انشاء المجلّد المرسل اليه: %s.
Could not create the FTest Tool dialog.,Impossible de créer la boîte de dialogue de l'outil « F-test ».,Der F-Test-Dialog konnte nicht erzeugt werden.,لا يمكن انشاء المجلّد المرسل اليه: %s.
Could not create the Fill Series dialog.,Impossible de créer la boîte de dialogue « Séries de remplissage ».,Der Datenreihe füllen-Dialog konnte nicht erzeugt werden.,لا يمكن إنشاء المحفوظة
Could not create the Fourier Analysis Tool dialog.,Impossible de créer la boîte de dialogue de l'outil « Analyse de Fourier ».,Der Fourier-Analysewerkzeug-Dialog konnte nicht erzeugt werden.,لا يمكن إنشاء السّجل لـ%s
