(Empty),(Vide),(Leer),(فارغة)
Trash,Corbeille,Papierkorb,سلة المهملات
Type:,Type :,Typ:,النوع:
Undo,Annuler,Rückgängig,تراجع
Undo Change Group,Annuler la modification du groupe,Gruppenänderung rückgängig machen,التراجع عن تغيير المجموعة
Undo Change Owner,Annuler la modification de propriétaire,Eigentumsänderung rückgängig machen,التراجع عن تغيير المالك
Undo Change Permissions,Annuler les modifications de permissions,Ändern der Zugriffsrechte rückgängig machen,التراجع عن تغيير الأذونات
Undo Copy,Annuler la copie,Kopieren rückgängig machen,تراجع عن النسخ
Undo Create Empty File,Annuler la création d'un fichier vide,Erstellen einer leeren Datei rückgängig machen,التراجع عن إنشاء ملف فارغ
Undo Create Folder,Annuler la création du dossier,Ordner erstellen rückgängig machen,التراجع عن إنشاء مجلد
Undo Create Link,Annuler la création du lien,Verknüpfung erstellen rückgängig machen,التراجع عن إنشاء الرابط
Undo Create from Template,Annuler la création à partir d'un modèle,Erstellung aus Vorlage rückgängig machen,التراجع عن الإنشاء من القالب
Undo Duplicate,Annuler la duplication,Verdoppeln rückgängig machen,تراجع عن التكرار
Undo Move,Annuler le déplacement,Verschieben rückgängig machen,تراجع عن النقل
Undo Rename,Annuler le renommage,Umbenennen rückgängig machen,التراجع عن إعادة التسمية
Undo Restore from Trash,Annuler la restauration depuis la corbeille,Wiederherstellung aus dem Papierkorb rückgängig machen,تراجع عن الاستعادة من سلة المهملات
Undo Trash,Annuler la mise à la corbeille,Verschieben in den Papierkorb rückgängig machen,التراجع عن سلة المهملات
Unlock Drive,Déverrouiller le volume,Laufwerk entsperren,إلغاء تأمين محرك اﻷقراص
Unmount,Démonter,Aushängen,إلغاء تحميل
Up,Parent,Hoch,أعلى
User name:,Nom d'utilisateur :,Benutzername:,اسم المستخدم:
Vertical,Vertical,Senkrecht,عمودي
View,Affichage,Ansicht,عرض
View executable text files when they are opened,Afficher les fichiers textes exécutables lorsqu'ils sont ouverts,"Ausführbare Textdateien anzeigen, wenn sie geöffnet werden",عرض الملفات النصية القابلة للتنفيذ عند فتحها
Write,Écriture,Schreiben,الكتابة
access,accès,Zugriff,الوصول
button,bouton,Knopf,زر
by Modification Date,par date de modification,nach Änderungsdatum,حسب تاريخ التعديل
by Trash Time,par date de mise à la corbeille,nach Löschdatum,حسب وقت سلة المهملات
by Detailed Type,Par catégories détaillées,nach datailliertem Dateityp,حسب النوع المفصل
by Name,par nom,nach Name,حسب الاسم
by Size,par taille,nach Größe,حسب الحجم
by Type,par type,nach Typ,حسب النوع
create/delete,création/suppression,erstellen/löschen,إنشاء/حذف
dropped data,données déposées,abgelegte Daten,dropped data
dropped text.txt,texte déposé.txt,Abgelegter-Text.txt,dropped text.txt
free,libre,frei,الحرة
link,lien,Verknüpfung,الرابط
link (broken),lien (invalide),Verknüpfung (fehlerhaft),الرابط (معطل)
list,liste,Liste,القائمة
nd copy),e copie),. Kopie),نسخ nd)
no,pas de,Nein,لا
no information available,pas d'information disponible,Keine Information verfügbar,لا توجد معلومات متاحة
nothing,vide,Nichts,لا شيئ
on the desktop,sur le bureau,auf dem Schreibtisch,على سطح المكتب
page0,page0,Seite0,الصفحة0
page1,page1,Seite1,الصفحة1
rd copy),e copie),. Kopie),نسخ rd)
read,lecture,lesen,القراءة
st copy),re copie),. Kopie),نسخ st)
th copy),e copie),. Kopie),نسخ th)
unknown,inconnu,Unbekannt,غير معروف
unreadable,impossible à lire,nicht lesbar,غير قابل للقراءة
used,utilisé,benutzt,المستخدمة
write,écriture,schreiben,الكتابة
