English Term,Arabic Term,Arabic Description
Chunking,تقطيع,عملية تقسيم كميات كبيرة من النصوص إلى أجزاء أصغر يسهل التحكم فيها ُتسَّمى القطع. .
Class,صنف,اسم ُيمثل إحدى الفئات المحددة للتصنيف. .
Class-Imbalanced Dataset,بيانات غير متوازنة الأصناف,مشكلة في التصنيف عندما يكون عدد الأصناف في مجموعة بيانات مختلًفا اختالًفا كبيًرا. وُيطلق عليها أيًضا بيانات غير . متوازنة. .
Classification,تصنيف,نوع من خوارزميات تعُّلم الآلة، تحدد الفئة التي ينتمي إليها ُمْدَخل معين. وُيطلق عليه أيًضا تصنيف قياسي. . .
Classification Model,نموذج تصنيف,نموذج تعُّلم آلة يميز بين صنفين منفصلين أو أكثر. .
Classification Threshold,حد التصنيف,معيار عددي لتصنيف مشاهدة جديدة إلى تصنيف ثنائي. وُيطلق عليه أيًضا حد القرار.     . .
Classifier,ُمصِّنف,خوارزمية ُتستخدم لتصنيف البيانات إلى مجموعات (أو أصناف) بناًء على الخصائص السلوكية والهيكلية.      ( ) .
Clickstream Analytics,تحليالت النقرات,نوع من تحليالت الويب ُيستخدم لمراقبة زوار المواقع الإلكترونية وتحليل سلوكهم. .
Clipping,تقليم,أسلوب تسوية ُيستخدم للتعامل مع القيم الشاذة؛ عن طريق وضع حد أقصى بقيمة ثابتة لجميع قيم الخصائص التي تكون أعلى أو أقل من قيمة محددة. .
Cloud Computing,حوسبة سحابية,أسلوب حوسبي لتمكين الوصول إلى مجموعة قابلة للتوسع من موارد الحاسب المشتركة، مع توفير خدمة ذاتية وإدارة عند الطلب. .
Cloud Data Ecosystem,منظومة بيانات سحابية,بيئة شاملة ومتكاملة مصممة لإدارة البيانات ومعالجتها وتحليلها في الأنظمة السحابية. .
Cloud Robotics,علم الروبوتات السحابية,مجال في علم الروبوتات تستخدم فيه الروبوتات التقنيات السحابية لتوسيع قدراتها، مثل: التخزين والحوسبة. .
Cluster,مجموعة,مجموعة من الأشياء المتشابهة في خصائصها، والمن َّظمة حسب أوجه التشابه بينها. .
Cluster Analysis,تحليل المجموعات,انظر تجميع. .
Clustering,تجميع,طريقة في تعُّلم الآلة غير الموَّجه لتجميع الأشياء المتشابهة في مجموعات. وُيطلق عليها أيًضا تحليل المجموعات.   . .
Co-Adaptation,َتَكُّيف مشترك,مشكلة في الشبكات العصبية تحدث عندما تعتمد الخلايا العصبية بصورة كبيرة على خلايا عصبية محددة بد ًال من اعتمادها على السلوك العام للشبكة. .
Co-Training,تدريب مشترك,طريقة تعُّلم شبه موَّجه، ُتستخدم في التصنيف عندما تكون البيانات غير الُمسَّماة أكثر من البيانات الُمسَّماة، وتشتمل مجموعة البيانات على مجموعتين مستقلتين ومتكاملتين من الخصائص. .
COBWEB,كوبويب,خوارزمية تجميع تدريجية وغير مو َّجهة، ُتوِّلد تصنيًفا هرمًّيا للأصناف. .
Coefficient,ُمعاِمل المتغير,قيمة ثابتة مضروبة بمتغير أو تعبير رياضي. .
Cognitive Architecture,معمارية إدراكية,فرضية حول البنية الثابتة للعقل البشري أو الاصطناعي والمعرفة والمهارات الُمج َّسدة لإنتاج سلوك ذكي. .
Cognitive Automation,أتمتة إدراكية,استخدام تقنيات الذكاء الاصطناعي ألتمتة المهام التي تتطلب قدرات إدراكية بشرية. .
Cognitive Computing,حوسبة إدراكية,مجال في علوم الحاسب يهدف إلى محاكاة عمليات التفكير البشري في نموذج محوسب. .
Cognitive Science,علوم إدراكية,مجال يركز على دراسة العقل وعملياته وكيف يمكن محاكاتها في الآلات. .
Cognitive System,نظام إدراكي,نظام يمكنه محاكاة العمليات الإدراكية البشرية، مثل: التعُّلم والاستدلال وحل المشكالت. .
Cohen’s Kappa,مقياس كوهين كابا,مقياس إحصائي لتقييم درجة الاتفاق بين اثنين من المقِّيمين، أو لتقييم أداء نموذج التصنيف. .
Cold Data Storage,تخزين البيانات غير النشطة,تخزين البيانات التي لا ُتستخدم إال نادًرا. .
Collaborative Artificial Intelligence,ذكاء اصطناعي تعاوني,ذكاء اصطناعي مصمم للعمل مع البشر لتحقيق أهداف مشتركة. .
Collaborative Filtering,تصفية تعاونية,أسلوب ُيستخدم في أنظمة التوصية للتنبؤ باهتمامات المستخدم بناًء على اهتمامات المستخدمين الآخرين. .
Collaborative Robot )Cobot(,روبوت تعاوني,روبوت ُمصَّمم للتفاعل المباشر مع الإنسان في بيئة عمل مشتركة. .
Combinatorial Optimization,تحسين توافقي,عملية إيجاد الحل الأمثل من مجموعة محدودة من الاحتمالات، وذلك عندما يكون البحث الشامل غير ممكن. .
Committee Machine,آلة تشاركية,نموذج يجمع مخرجات نماذج متعددة للتوصل إلى التنبؤ أو القرار النهائي. .
Commonsense Knowledge,معرفة بديهية,المعلومات التي تساعد البشر على فهم الأنشطة اليومية. .
Commonsense Reasoning,استدلال بديهي,قدرة أنظمة الذكاء الاصطناعي على فهم المواقف اليومية، والاستنتاج منها بطريقة مشابهة للبديهة البشرية. .
Complete Linkage,ربط كامل,طريقة تجميع ُتعِّرف المسافة بين مجموعتين عن طريق أقصى مسافة بين أي زوج من نقاط البيانات من كل مجموعة. .
Composable Data Analytics,تحليالت تركيبية للبيانات,طريقة مرنة تتيح تجميع وإعادة استخدام ُمكِّونات البيانات والتحليالت الحالية؛ لإنشاء حلول مخصصة. .
Composite Artificial Intelligence,ذكاء اصطناعي ُمَرَّكب,طريقة تجمع بين أساليب الذكاء الاصطناعي المختلفة لإنشاء أنظمة أكثر تقدًما. .
Computational Creativity,إبداع حوسبي,مجال ناشئ في الذكاء الاصطناعي يركز على قدرة الآلات على توليد مخرجات إبداعية وتقييمها. .
Computational Humor,فكاهة حوسبية,فرع من فروع الذكاء الاصطناعي يهتم بنمذجة الفكاهة وتوليدها. .
Computational Intelligence )CI(,ذكاء حوسبي,مجال دراسة يركز على الدافع البيولوجي واللغوي لتطوير الطرق الحوسبية، ويشمل الشبكات العصبية والأنظمة الضبابية والحوسبة التطورية. .
Computational Learning Theory,نظرية التعُّلم الحوسبي,مجال في الذكاء الاصطناعي يركز على جميع جوانب التصميم لخوارزميات تعُّلم الآلة وتحليلها؛ لتحديد المشكالت التي يمكن تعُّلمها. وُيطلق عليه أيًضا نظرية التعُّلم.  . .
Computational Linguistics,لغويات حوسبية,مجال علمي يهتم بفهم لغة الإنسان من منظور حوسبي. .
Computational Neuroscience,علم الأعصاب الحوسبي,مجال يركز على استخدام الأدوات والأساليب الحوسبية لدراسة الدماغ والجهاز العصبي. .
Computer Vision,رؤية الحاسب,مجال في الذكاء الاصطناعي يركز على تحليل البيانات المرئية (صور وفيديوهات) وفهم محتواها. وُيطلق عليه أيًضا رؤية  ) الآلة. .    .(
