%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
Brightness-Contrast...,Luminosité-Contraste…,Helligkeit / Kontrast …,السطوع والتباين...
Buffers,Presse-papiers,Ablagen,البراحات
Background,Arrière-plan,Hintergrund,الخلفية
Background Blue: Decrease by 1%,Bleu de l’arrière-plan : diminuer de 1 %,Hintergrund Blau: Um 1% verringern,لون الخلفية الأزرق: قلل بنسبة ١٪
Background Blue: Decrease by 10%,Bleu de l’arrière-plan : diminuer de 10 %,Hintergrund Blau: Um 10% verringern,لون الخلفية الأزرق: قلل بنسبة ١٠٪
Background Blue: Increase by 1%,Bleu de l’arrière-plan : augmenter de 1 %,Hintergrund Blau: Um 1% erhöhen,لون الخلفية الأزرق: زوّد بنسبة ١٪
Background Blue: Increase by 10%,Bleu de l’arrière-plan : augmenter de 10 %,Hintergrund Blau: Um 10% erhöhen,لون الخلفية الأزرق: زوّد بنسبة ١٠٪
Background Blue: Set,Bleu de l’arrière-plan : régler,Hintergrund Blau: Festlegen,لون الخلفية الأزرق: حدده
Background Blue: Set to Maximum,Bleu de l’arrière-plan : mettre au maximum,Hintergrund Blau: Auf Maximum setzen,لون الخلفية الأزرق: استخدم الحد الأقصى
Background Blue: Set to Minimum,Bleu de l’arrière-plan : mettre au minimum,Hintergrund Blau: Auf Minimum setzen,لون الخلفية الأزرق: استخدم الحد الأدنى
Background Green: Decrease by 1%,Vert de l’arrière-plan : diminuer de 1 %,Hintergrund Grün: Um 1% verringern,لون الخلفية الأخضر: قلل بنسبة ١٪
Background Green: Decrease by 10%,Vert de l’arrière-plan : diminuer de 10 %,Hintergrund Grün: Um 10% verringern,لون الخلفية الأخضر: قلل بنسبة ١٠٪
Background Green: Increase by 1%,Vert de l’arrière-plan : augmenter de 1 %,Hintergrund Grün: Um 1% erhöhen,لون الخلفية الأخضر: زوّد بنسبة ١٪
Background Green: Increase by 10%,Vert de l’arrière-plan : augmenter de 10 %,Hintergrund Grün: Um 10% erhöhen,لون الخلفية الأخضر: زوّد بنسبة ١٠٪
Background Green: Set,Vert de l’arrière-plan : régler,Hintergrundfarbe Grün: Festlegen,لون الخلفية الأخضر: حدده
Background Green: Set to Maximum,Vert de l’arrière-plan : mettre au maximum,Hintergrund Grün: Auf Maximum setzen,لون الخلفية الأخضر: استخدم الحد الأقصى
Background Green: Set to Minimum,Vert de l’arrière-plan : mettre au minimum,Hintergrund Grün: Auf Minimum setzen,لون الخلفية الأخضر: استخدم الحد الأدنى
Background Hue: Decrease by 1%,Teinte de l’arrière-plan : diminuer de 1 %,Hintergrundfarbton: Um 1% verringern,درجة الخلفية: قلل بنسبة ١٪
Background Hue: Decrease by 10%,Teinte de l’arrière-plan : diminuer de 10 %,Hintergrundfarbton: Um 10% verringern,درجة الخلفية: قلل بنسبة ١٠٪
Background Hue: Increase by 1%,Teinte de l’arrière-plan : augmenter de 1 %,Hintergrundfarbton: Um 1% erhöhen,درجة الخلفية: زوّد بنسبة ١٪
Background Hue: Increase by 10%,Teinte de l’arrière-plan : augmenter de 10 %,Hintergrundfarbton: Um 10% erhöhen,درجة الخلفية: زوّد بنسبة ١٠٪
Background Hue: Set,Teinte de l’arrière-plan : régler,Hintergrundfarbton: Festlegen,درجة الخلفية: حدده
Background Hue: Set to Maximum,Teinte de l’arrière-plan : mettre au maximum,Hintergrundfarbton: Auf Maximum setzen,درجة الخلفية: استخدم الحد الأقصى
Background Hue: Set to Minimum,Teinte de l’arrière-plan : mettre au minimum,Hintergrundfarbton: Auf Minimum setzen,درجة الخلفية: استخدم الحد الأدنى
Background Red: Decrease by 1%,Rouge de l’arrière-plan : diminuer de 1 %,Hintergrund Rot: Um 1% verringern,لون الخلفية الأحمر: قلل بنسبة ١٪
Background Red: Decrease by 10%,Rouge de l’arrière-plan : diminuer de 10 %,Hintergrund Rot: Um 10% verringern,لون الخلفية الأحمر: قلل بنسبة ١٠٪
Background Red: Increase by 1%,Rouge de l’arrière-plan : augmenter de 1 %,Hintergrund Rot: Um 1% erhöhen,لون الخلفية الأحمر: زوّد بنسبة ١٪
Background Red: Increase by 10%,Rouge de l’arrière-plan : augmenter de 10 %,Hintergrund Rot: Um 10% erhöhen,لون الخلفية الأحمر: زوّد بنسبة ١٠٪
Background Red: Set,Rouge de l’arrière-plan : régler,Hintergrund Rot: Festlegen,لون الخلفية الأحمر: حدده
Background Red: Set to Maximum,Rouge de l’arrière-plan : mettre au maximum,Hintergrund Rot: Auf Maximum setzen,لون الخلفية الأحمر: استخدم الحد الأقصى
Background Red: Set to Minimum,Rouge de l’arrière-plan : mettre au minimum,Hintergrund Rot: Auf Minimum setzen,لون الخلفية الأحمر: استخدم الحد الأدنى
Background Saturation: Decrease by 1%,Saturation de l’arrière-plan : diminuer de 1 %,Hintergrundsättigung: Um 1% verringern,تشبع الخلفية: قلل بنسبة ١٪
Background Saturation: Decrease by 10%,Saturation de l’arrière-plan : diminuer de 10 %,Hintergrundsättigung: Um 10% verringern,تشبع الخلفية: قلل بنسبة ١٠٪
Background Saturation: Increase by 1%,Saturation de l’arrière-plan : augmenter de 1 %,Hintergrundsättigung: Um 1% erhöhen,تشبع الخلفية: زوّد بنسبة ١٪
Background Saturation: Increase by 10%,Saturation de l’arrière-plan : augmenter de 10 %,Hintergrundsättigung: Um 10% erhöhen,تشبع الخلفية: زوّد بنسبة ١٠٪
Background Saturation: Set,Saturation de l’arrière-plan : régler,Hintergrundsättigung: Festlegen,تشبع الخلفية: حدده
Background Saturation: Set to Maximum,Saturation de l’arrière-plan : mettre au maximum,Hintergrundsättigung: Auf Maximum setzen,تشبع الخلفية: استخدم الحد الأقصى
Background Saturation: Set to Minimum,Saturation de l’arrière-plan : mettre au minimum,Hintergrundsättigung: Auf Minimum setzen,تشبع الخلفية: استخدم الحد الأدنى
Background Value: Decrease by 1%,Valeur de l’arrière-plan : diminuer de 1 %,Hintergrundwert: Um 1% verringern,قيمة الخلفية: قلل بنسبة ١٪
Background Value: Decrease by 10%,Valeur de l’arrière-plan : diminuer de 10 %,Hintergrundwert: Um 10% verringern,قيمة الخلفية: قلل بنسبة ١٠٪
Background Value: Increase by 1%,Valeur de l’arrière-plan : augmenter de 1 %,Hintergrundwert: Um 1% erhöhen,قيمة الخلفية: زوّد بنسبة ١٪
Background Value: Increase by 10%,Valeur de l’arrière-plan : augmenter de 10 %,Hintergrundwert: Um 10% erhöhen,قيمة الخلفية: زوّد بنسبة ١٠٪
Background Value: Set,Valeur de l’arrière-plan : régler,Hintergrundwert: Festlegen,قيمة الخلفية: حددها
Background Value: Set to Maximum,Valeur de l’arrière-plan : mettre au maximum,Hintergrundwert: Auf Maximum setzen,قيمة الخلفية: استخدم الحد الأقصى
Background Value: Set to Minimum,Valeur de l’arrière-plan : mettre au minimum,Hintergrundwert: Auf Minimum setzen,قيمة الخلفية: استخدم الحد الأدنى
Background color,Couleur d’arrière-plan,Hintergrundfarbe,لون الخلفية
Background color (transparent),Couleur d’arrière-plan (transparent),Hintergrundfarbe (transparent),لون الخلفية (شفاف)
Background color set to:,Couleur de premier plan définie à :,Hintergrundfarbe ist:,لون الخلفية مضبوط على:
"Background: %d, %d, %d","Arrière-plan : %d, %d, %d",,الخلفية: %Id، %Id، %Id
Background: Set Color From Colormap,Arrière-plan : définir la couleur à partir d’une carte de couleurs,Hintergrund: Farbe aus Farbtabelle festlegen,لون الخلفية: خذه من مخطط الألوان
Background: Set Color From Palette,Arrière-plan : régler la couleur d’après une palette,Hintergrund: Farbe aus Palette festlegen,لون الخلفية: خذه من لوح الألوان
Background: Set Color From Swatch,Arrière-plan : régler la couleur à partir d’un échantillon,Hintergrund: Farbe aus dem Farbfeld setzen,لون الخلفية: خذه من العينة
Background: Skip Back Color From Colormap,Arrière-plan : sauter la couleur en arrière dans la carte de couleurs,Hintergrund: Zur vorigen Farbe aus der Farbtabelle zurück springen,لون الخلفية: عد للخلف في مخطط الألوان
Background: Skip Back Palette Color,Arrière-plan : sauter la couleur en arrière dans la palette,Hintergrund: Zur vorigen Palettenfarbe zurück springen,لون الخلفية: عد للخلف في لوحة الألوان
Background: Skip Color Back From Swatch,Arrière-plan : sauter la couleur en arrière dans l’échantillon,Hintergrund: Eine Farbe im Farbfeld zurück springen,لون الخلفية: عد للخلف في ألوان العينة
Background: Skip Color Forward From Swatch,Arrière-plan : sauter la couleur en avant dans l’échantillon,Hintergrund: Eine Farbe im Farbfeld vorwärts springen,لون الخلفية: تقدّم للأمام في ألوان العينة
Background: Skip Forward Color From Colormap,Arrière-plan : sauter la couleur en avant dans la carte de couleurs,Hintergrund: Zur nächsten Farbe in der Farbtabelle springen,لون الخلفية: تقدّم للأمام في مخطط الألوان
Background: Skip Forward Palette Color,Arrière-plan : sauter la couleur en avant dans la palette,Hintergrund: Zur nächsten Palettenfarbe springen,لون الخلفية: تقدّم للأمام في لوحة الألوان
Background: Use First Color From Colormap,Arrière-plan : utiliser la première couleur de la carte de couleurs,Hintergrund: Erste Farbe aus Farbpalette verwenden,لون الخلفية: استخدم أول لون في مخطط الألوان
Background: Use First Color From Swatch,Arrière-plan : utiliser la première couleur de l’échantillon,Hintergrund: Erste Farbe aus dem Farbfeld verwenden,لون الخلفية: استخدم أول لون في العينة
Background: Use First Palette Color,Arrière-plan : utiliser la première couleur de la palette,Hintergrund: Erste Palettenfarbe verwenden,لون الخلفية: استخدم أول لون في لوحة الألوان
Background: Use Last Color From Colormap,Arrière-plan : utiliser la dernière couleur de la carte de couleurs,Hintergrund: Letzte Farbe aus Farbpalette verwenden,لون الخلفية: استخدم آخر لون في مخطط الألوان
Background: Use Last Color From Swatch,Arrière-plan : utiliser la dernière couleur de l’échantillon,Hintergrund: Letzte Farbe aus dem Farbfeld verwenden,لون الخلفية: استخدم آخر لون في العينة
Background: Use Last Palette Color,Arrière-plan : utiliser la dernière couleur de la palette,Hintergrund: Letzte Palettenfarbe verwenden,لون الخلفية: استخدم آخر لون في لوحة الألوان
Background: Use Next Color From Colormap,Arrière-plan : utiliser la couleur suivante de la carte de couleurs,Hintergrund: Nächste Farbe aus Farbpalette verwenden,لون الخلفية: استخدم لون مخطط الألوان التالي
Background: Use Next Color From Swatch,Arrière-plan : utiliser la couleur suivante de l’échantillon,Hintergrund: Nächste Farbe aus dem Farbfeld verwenden,لون الخلفية: استخدم لون العينة التالي
Background: Use Next Palette Color,Arrière-plan : utiliser la couleur suivante de la palette,Hintergrund: Nächste Palettenfarbe verwenden,لون الخلفية: استخدم لون لوحة الألوان التالي
Background: Use Previous Color From Colormap,Arrière-plan : utiliser la couleur précédente de la carte de couleurs,Hintergrund: Vorige Farbe aus Farbpalette verwenden,لون الخلفية: استخدم لون مخطط الألوان السابق
Background: Use Previous Color From Swatch,Arrière-plan : utiliser la couleur précédente de l’échantillon,Hintergrund: Vorherige Farbe aus dem Farbfeld verwenden,لون الخلفية: استخدم لون العينة السابق
Background: Use Previous Palette Color,Arrière-plan : utiliser la couleur précédente de la palette,Hintergrund: Vorige Palettenfarbe verwenden,لون الخلفية: استخدم لون لوحة الألوان السابق
Bad binary format string in interpreter file %s,Format binaire erroné dans le fichier d’interpréteur %s,Ungültige binäre Formatzeichenkette in Interpreterdatei %s,سلسلة نسق ثنائي سيئة في ملف المفسر %s
Bad interpreter referenced in interpreter file %s: %s,Interpréteur erroné indiqué dans le fichier d’interpréteur %s : %s,Ungültiger Interpreterverweis in Interpreterdatei %s: %s,مفسّر سئ مشار إليه في ملف المفسر %s: ‏%s
Base Opacity,Opacité de base,Deckkraft,إعتام الأساس
Base filled area on all visible layers,Région remplie de base sur tous les calques visibles,Den gefüllten Bereich auf alle sichtbaren Bereiche stützen,منطقة القاعدة المملوءة في كل الطبقات المرئية
Base selection on all visible layers,Sélection fondée sur tous les calques visibles,Auswahl auf alle sichtbaren Ebenen stützen,التحديد الأساس في كل الطبقات المرئية
Batch command to run (can be used multiple times),Commande batch à lancer (peut être utilisé plusieurs fois),Auszuführender Stapelbefehl (kann mehrfach verwendet werden),أمر دفعة ليستخدم (يمكن استخدامه مرات متعددة)
Be more verbose,Être plus bavard,Ausführlicher verhalten,كن أكثر تفصيلا
Behavior,Comportement,Verhalten,السلوك
Behind,Derrière,Hinter,خلف
Behind (l),Derrière (a),Dahinter (v),خلف
Bend the text along the currently active path,Déformer ce calque de texte selon le chemin actuel,Den am aktuellen Pfad entlang verbiegen,لف نص هذه الطبقة خلال المسار الحالي
Better and faster color management,Gestion des couleurs meilleure et plus rapide.,,إدارة الألوان
Blur / Sharpen,Flou / Netteté,Weichzeichnen / Schärfen,نعّم \ أظهر
Black & white,Noir et blanc,Schwarz und Weiß,أبيض وأسود
Black point compensation,Compensation du point noir,Tiefenkompensation,تعويض النقطة السوداء
Blend Endpoints' Colors,Mélanger les couleurs des extrémités,Farben der Endpunkte mitteln,امزج ألوان نقط النهاية
Blend,,,امزج
Blend,,,امزج
Blend Endpoints' Opacity,Mélanger les opacités des extrémités,Deckkraft der Endpunkte mitteln,امزج إعتام نقط النهاية
Blend Space,Espace de fusion,Farbverlaufsraum,امزج:
Blend Step,,,امزج:
Blend Tool: Fill selected area with a color gradient,,,أداة المزج: املأ المناطق المحددة بتدرج لوني
Blend space:,,,مساحة الألوان:
Blend:,,,امزج:
Blending,,,مزج
Blending:,Dégradé :,Mittelung:,مزج
Blue,Bleu,Blau,أزرق
Blue channel,Canal bleu,Blauer Kanal,القناة الزرقاء
Blue component,Composant bleu,Blau-Komponente,المكوّن الأزرق
Blur / Sharpen,Flou / Netteté,Weichzeichnen / Schärfen,نعّم \ أظهر
Blur / Sharpen Tool: Selective blurring or unblurring using a brush,Outil de flou et de netteté : enlève ou ajoute du flou sélectivement en utilisant une brosse,Weichzeichnen / Schärfen: Mittels eines Pinsel weichzeichnen und schärfen,أداة التنعيم والإظهار: تنعيم وإزالة تنعيم انتقائي باستخدام فرشاة
Blur the selection border so that it fades out smoothly,Modifier le bord de la sélection pour obtenir un fondu progressif,"Auswahlkante weichzeichnen, um einen weichen Übergang zu erhalten",موّه حافة التحديد لتُبهِت بنعومة
Border...,Bordure…,Rand …,الحافة...
Bold,Gras,Fett,عريض
Border Channel,Bordure du canal,Kanal umranden,حدّد القناة
Border Selection,Border la sélection,Auswahl umranden,حدد التحديد
Border Selection Dialog,Boîte de dialogue « Sélection de bordure »,Randwahldialog,حدد التحديد
Border radius:,Rayon de bordure :,Kantenradius:,نصف قطر الفرشاة
Border selection by,Border la sélection de,Neue Auswahl größer um,حدد التحديد ب‍
Border style,Style de bordure,Randstil,أسلوب الحد
Border style:,Style de bordure :,Randstil:,أسلوب الوصل:
Bottom,Bas,Unten,تحت
Box,Boîte,Box,الصندوق:
Box:,Boîte :,Box:,الصندوق:
Brightness,Luminosité,Helligkeit,السطوع
Brightness-Contrast,Luminosité-Contraste,Helligkeit/Kontrast,السطوع-التباين
Brown,Marron,Braun,بني
Brush,Brosse,Pinsel,فرشاة
Brush '%s' is not a generated brush,La brosse « %s » n’est pas une brosse générée,Pinsel »%s« ist kein generierter Pinsel,الفرشاة '%sط ليست فرشاة مُولَّدة
Brush '%s' is not editable,Impossible de modifier la brosse « %s »,,الفرشاة '%s' غير قابلة للتعديل
Brush '%s' is not renamable,Impossible de renommer la brosse « %s »,,الفرشاة '%s' غير قابلة للتعديل
Brush '%s' not found,Impossible de trouver la brosse « %s »,,الفرشاة '%s' غير موجودة
Brush Angle,Angle de la brosse,Winkel des Pinsels,زاوية الفرشاة
Brush Angle (Editor): Make Horizontal,Angle de la brosse (éditeur) : rendre horizontal,Pinselwinkel (Editor): Horizontal festlegen,زاوية الفرشاة (المحرر): اجعلها أفقية
Brush Angle (Editor): Make Vertical,Angle de la brosse (éditeur) : rendre vertical,Pinselwinkel (Editor): Vertikal festlegen,زاوية الفرشاة (المحرر): اجعلها رأسية
Brush Angle (Editor): Rotate Left by 15°,Angle de la brosse (éditeur) : tourner vers la gauche de 15°,Pinselwinkel (Editor): Um 15° links drehen,زاوية الفرشاة (المحرر): لفها يسارا ١٥°
Brush Angle (Editor): Rotate Left by 1°,Angle de la brosse (éditeur) : tourner vers la gauche de 1°,Pinselwinkel (Editor): Um 1° links drehen,زاوية الفرشاة (المحرر): لفها يسارا ١°
Brush Angle (Editor): Rotate Right by 15°,Angle de la brosse (éditeur) : tourner vers la droite de 15°,Pinselwinkel (Editor): Um 15° rechts drehen,زاوية الفرشاة (المحرر): لفها يمينا ١٥°
Brush Angle (Editor): Rotate Right by 1°,Angle de la brosse (éditeur) : tourner vers la droite de 1°,Pinselwinkel (Editor): Um 1° rechts drehen,زاوية الفرشاة (المحرر): لفها يمينا ١°
Brush Angle (Editor): Set,Angle de la brosse (éditeur) : régler,Pinselwinkel (Editor): Festlegen,زاوية الفرشاة (المحرر): حددها
Brush Angle: %2.2f,Angle de la brosse : %2.2f,Pinselwinkel: %2.2f,زاوية الفرشاة: %2.2f
Brush Aspect Ratio,Proportions de la brosse,Seitenverhältnis des Pinsels,نسبة أبعاد الفرشاة
Brush Aspect Ratio (Editor): Decrease by 0.1,"Proportions de la brosse (éditeur) : diminuer de 0,1","Seitenverhältnis des Pinsels (Editor): Um 0,1 verringern",نسبة أبعاد الفرشاة (المحرر): قلل بقيمة ٠٫١
Brush Aspect Ratio (Editor): Decrease by 1,Proportions de la brosse (éditeur) : diminuer de 1,Seitenverhältnis des Pinsels (Editor): Um 1 erhöhen,نسبة أبعاد الفرشاة (المحرر): قلل بقيمة ١
Brush Aspect Ratio (Editor): Increase by 0.1,"Proportions de la brosse (éditeur) : augmenter de 0,1","Seitenverhältnis des Pinsels (Editor): Um 0,1 erhöhen",نسبة أبعاد الفرشاة (المحرر): زوّد بقيمة ٠٫١
