(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
Check this to use a custom label,Activez cette option pour utiliser un titre personnalisé,"Aktivieren, um eine eigene Beschriftung zu benutzen",تحقق من هذا لاستخدام تسمية مخصصة
Check your system log and the Cinnamon LookingGlass log for any issues.,Vérifiez votre journal système et le journal LookingGlass de Cinnamon.,Bitte das Systemprotokoll und das Cinnamon-LookingGlas-Protokoll nach Problemen überprüfen.,تحقق من سجل النظام وسجل Cinnamon LookingGlass بحثًا عن أي مشاكل.
Check your video drivers,Vérifiez vos pilotes vidéo,Bitte Grafiktreiber überprüfen,تاكد من تعريفات الفيديو (كرت الشاشة)
Checking dependencies,Vérification des dépendances,Abhängigkeiten werden überprüft,التحقق من التبعيات
Checking this box allows you to set a custom label in the field below - this demonstrates setting dependencies,Cocher cette boîte vous permet de personnaliser l'étiquette du champs ci-dessous - ceci démontre les réglages des dépendances,Durch das Aktivieren des Ankreuzfeldes kann eine eigene Bezeichnung im unteren Feld eingegeben werden - das verdeutlicht Einstellungsabhängigkeiten,يسمح لك تحديد هذا المربع بتعيين تسمية مخصصة في الحقل أدناه - يوضح ذلك تبعيات الإعداد
Checking this box shows the Dependencies section below. Unchecking hides it.,Cocher cette case affiche ci-dessous la section Dépendances.  La décocher la cache.,"Wenn Sie dieses Feld aktivieren, wird der Abschnitt Abhängigkeiten unten angezeigt. Durch die Deaktivierung wird er ausgeblendet.",يؤدي تحديد هذا المربع إلى إظهار قسم الاعتماديات أدناه. إلغاء التحديد يخفيه.
Choose a Date,Choisissez une date,Datum auswählen,اختر التاريخ
Choose a Time,Sélectionnez l'heure,Bitte Zeit auswählen,اختر الوقت
Choose a command,Choisissez une commande,Befehl auswählen,اختر الأمر
Choose a directory,Choisissez un dossier,Verzeichnis auswählen,اختر دليل
Choose a file,Choisissez un fichier,Datei auswählen,اختر الملف
Choose a font,Choisissez une police,Schrift auswählen,اختر الخط
Choose a sound,Choisissez un son,Einen Klang auswählen,اختر الصوت
Choose application,Choisir l'application,Anwendung auswählen,اختيار تطبيق
Choose player controls,Choisir le lecteur,Wiedergabesteuerung auswählen,اختيار عناصر التحكم في المشغل
Choose when to show the printer icon in the panel,Choisissez quand afficher l’icône de l’imprimante dans le panneau,"Auswählen, wenn das Druckersymbol in der Leiste angezeigt werden soll",اختر متى يتم إظهار أيقونة الطابعة في اللوحة
Choose whether or not to change categories by hovering.,Choisir si la catégorie doit changer au survol de la souris.,"Auswählen, ob die Kategorien durch Darüberbewegen geändert werden sollen oder nicht.",اختر ما إذا كنت تريد تغيير الفئات عن طريق التمرير أم لا.
Choose whether or not to enable smooth autoscrolling in the application list.,Permet le défilement naturel automatique dans la liste des applications.,"Legt fest, ob weicher Bildlauf in der Anwendungsliste aktiviert wird.",اختر ما إذا كنت ستقوم بتمكين التمرير التلقائي السلس في قائمة التطبيقات أم لا.
Choose whether or not to show bookmarks and places in the menu.,Choisir d'afficher ou non les favoris et les emplacements dans le menu.,"Legt fest, ob Lesezeichen und Orte im Menü angezeigt werden.",اختر ما إذا كنت تريد عرض الإشارات المرجعية والأماكن الموجودة في القائمة أم لا.
Choose whether or not to show favorite files in the menu.,Choisissez d'afficher ou non les fichiers favoris dans le menu.,"Auswählen, ob favorisierte Dateien im Menü angezeigt werden sollen oder nicht.",اختر ما إذا كنت تريد إظهار الملفات المفضلة في القائمة أم لا.
Choose whether or not to show icons on applications.,Choisir d'afficher ou non les icônes des applications.,"Legt fest, ob Symbole an Anwendungen angezeigt werden.",اختر ما إذا كنت تريد عرض الأيقونات على التطبيقات أم لا.
Choose whether or not to show icons on categories.,Choisir d'afficher ou non les icônes de catégorie.,"Legt fest, ob Symbole an Kategorien angezeigt werden.",اختر ما إذا كنت تريد عرض الأيقونات على الفئات أم لا.
Choose whether or not to show recents in the menu.,Afficher ou non les récents dans le menu.,"Wählen, ob im Menü Kürzliches angezeigt werden soll oder nicht.",اختر ما إذا كنت تريد إظهار الأخيرة في القائمة أم لا.
Choose whether or not to show the left pane of the menu.,Choisir d'afficher ou non le panneau gauche du menu.,"Legt fest, ob die linke Leiste des Menüs angezeigt wird.",اختر ما إذا كنت تريد عرض الجزء الأيسر من القائمة أم لا.
Choosers,Sélecteurs,Auswahldialoge,المنتقيات
Cinnamon Settings,Paramètres de Cinnamon,Cinnamon-Einstellungen,إعدادات سينامُن
Cinnamon Version,Version de Cinnamon,Cinnamon-Version,إصدار سينامُن
Cinnamon just crashed,Cinnamon vient de planter,Cinnamon ist gerade abgestürzt,سينامُن تحطمت للتو
Cinnamon power management applet,Applet Cinnamon de gestion de l'alimentation,Cinnamon-Energieverwaltungsregler,بريمج سينامُن لإدارة الطاقة
Cinnamon privacy settings,Paramètres de confidentialité de Cinnamon,Cinnamon-Datenschutzeinstellungen,إعدادات خصوصية سنامُن
"Cinnamon started successfully, but one or more applets, desklets or extensions failed to load.","Cinnamon a démarré avec succès, mais des extensions, applets ou desklets n'ont pu être chargés.","Cinnamon wurde erfolgreich gestartet, aber ein oder mehrere Applets, Desklets oder Erweiterungen konnten nicht geladen werden.",بدء تشغيل سينامُن بنجاح، ولكن فشل تطبيق واحد أو أكثر من البريمجات، أو التطبيقات المكتبية، أو الامتدادات.
City,Ville,Stadt,مدينة
Classic Mac,Mac classique,Klassischer Mac,الماك الاعتيادي
Clear all recent documents,Effacer les documents récents,Alle kürzlich Verwendeten löschen,امسح كافة المستندات الحديثة
Clear list,Vider la liste,Liste leeren,امسح القائمة
Clear notifications,Effacer les notifications,Benachrichtigungen leeren,امسح الإشعارات
Click,Clic,Klick,النقر
Click actions,Actions de clics,Klickaktionen,إجراءات النقر
Click or hover to activate Expo view,Cliquez ou survolez pour afficher la vue Expo,"Anklicken oder darüberbewegen, um Arbeitsflächenübersicht zu aktivieren",انقر أو قم بالتحويم لتنشيط عرض Expo
Click or hover to activate Scale view,Cliquez ou survolez pour activer la vue Scale,"Anklicken oder darüberbewegen, um Fensterübersicht zu aktivieren",انقر فوق أو قم بالتحويم لتنشيط عرض التحجيم
Click the button to select a new background color for this applet,Cliquez sur le bouton pour choisir une nouvelle couleur de fond pour cet applet,"Um eine neue Hintergrundfarbe für das Applet auszuwählen, bitte den Knopf anklicken.",انقر فوق الزر لتحديد لون خلفية جديدة لهذا البريمج
Click the button to select a new text color,Cliquez sur le bouton pour choisir une nouvelle couleur de texte,"Den Knopf klicken, um eine neue Textfarbe auszuwählen",انقر فوق الزر لتحديد لون جديد للنص
"Click the eyedropper, then click a color anywhere on your screen to select that color","Cliquez sur la pipette, puis sur une couleur n'importe où à l’ écran pour la choisir","Bitte auf die Pipette klicken und dann auf eine beliebige Stelle Ihres Bildschirms, um die dortige Farbe auszuwählen",انقر على أداة تحديد اللون، ثم انقر فوق اللون في أي مكان على الشاشة لتحديد هذا اللون
Click this button to know more about the syntax for date formats.,Cliquez sur ce bouton pour plus d'informations sur la syntaxe à utiliser.,"Auf diesen Knopf klicken, um mehr über die Schreibweise von Datumsformaten zu erfahren.",انقر فوق هذا الزر لمعرفة المزيد حول صيغة تنسيقات التاريخ.
Click to change the groups,Cliquer pour changer les groupes,"Auf die Gruppen klicken, um sie zu ändern",أنقر لتغيير المجموعات
Click to change the name,Cliquer pour changer le nom,"Auf den Namen klicken, um ihn zu ändern",أُنقر لتغيير الاسم
Click to change the password,Cliquer pour changer le mot de passe,"Auf das Passwort klicken, um es zu ändern",انقر لتغيير كلمة المرور
Click to change the picture,Cliquer pour changer la photo,"Auf das Bild klicken, um es zu ändern",أُنقر لتغيير الصورة
Click to change your name,Cliquer pour changer votre nom,"Klicken, um Ihren Namen zu ändern",أنقر لتغيير اسمك
Click to change your password,Cliquer pour changer votre mot de passe,"Klicken, um Ihr Passwort zu ändern",أنقر لتغيير كلمة المرور الخاصة بك
Click to change your picture,Cliquer pour changer votre photo,"Klicken, um Ihr Bild zu ändern",أنقر لتغيير صورتك
Click to display and manage system notifications,Accéder aux notifications que vous avez ratées,"Klicken, um Systemmeldungen anzuzeigen und zu verwalten",انقر لعرض وإدارة إشعارات النظام
Click to enable the on-screen keyboard,Cliquez pour activer le clavier visuel,"Anklicken, um die Bildschirmtastatur zu aktivieren",انقر لتمكين لوحة المفاتيح على الشاشة
Click to mute,Cliquez pour couper le son,"Anklicken, zum Stummschalten",انقر لكتم الصوت
Click to pause the slideshow,Cliquez pour interrompre le diaporama,"Anklicken, um die Diaschau anzuhalten",انقر لإيقاف عرض الشرائح مؤقتًا
Click to resume the slideshow,Cliquez pour relancer le diaporama,"Anklicken, um die Diaschau fortzusetzen",انقر لاستئناف عرض الشرائح
Click to set a new accelerator key.,Cliquez pour assigner un nouveau raccourci clavier.,Anklicken für neue Tastenkombination.,انقر لتعيين مفتاح تسريع جديد.
Click to show the desktop or middle-click to show the desklets,Cliquez pour afficher le bureau ou cliquez au milieu pour afficher les desklets,"Klicken, um den Schreibtisch anzuzeigen, oder Mittelklicken, um die Desklets anzuzeigen",انقر لإظهار سطح المكتب أو انقر بزر الفأرة الأوسط لإظهار أدوات سطح المكتب
Click to show thumbnails,Cliquer pour afficher les vignettes,"Hier klicken, um Vorschaubilder anzuzeigen.",انقر لعرض المُصغّرات
Click to toggle the on-screen keyboard,Cliquer pour basculer sur le clavier visuel,"Klicken, um die Bildschirmtastatur ein-/auszuschalten",انقر للتبديل إلى لوحة المفاتيح على الشاشة
Click to unmute,Cliquez pour réactiver le son,Stummschalten aus,انقر لإلغاء كتم الصوت
Clock,Horloge,Uhr,الساعة
Clock desklet,Calendrier,Uhr-Desklet,تطبيق الساعة المكتبي
