English Term,Arabic Term,Description
"Assigned Frequency","التردد المخصص","يعني مركز النطاق الترددي المخصص لإحدى المحطات الراديوية."
"Tokenization","الترميز","عملية تحويل البيانات الحساسة إلى بيانات غير حساسة تسمى ""الرموز المميزة"" التي يمكن استخدامها في قاعدة بيانات أو نظام داخلي دون وضعها في النطاق."
"ASCII Compatible Encoding","الترميز المتوافق مع الآسكي (ASCII)","هو نظام ترميز نقطة رمز اليونيكود (Unicode Code Point) بحيث يمكن نقل أي حرف باستخدام عدد محدود من أحرف الآسكي (ASCII) وهي من a الى z و 0 الى 9 والشرطة (-)."
"Universal Service Obligation","التزام الخدمة الشمولية (USO)","التزام مفروض على المرخص له لتقديم الخدمات الشمولية."
"Registration","التسجيل","يقصد بها النتيجة الناجحة من عملية التسجيل يتم من خلالها إنشاء قيد معلومات التسجيل الخاص بمشترك الهاتف المتحرك. كما يكون لكلمتي تسجيل ومسجل معنی مماثل."
"International Regulations","التشريعات الدولية","يعني الأنظمة واللوائح والمعايير والمواصفات والتعريفات والتوصيات والاتفاقيات الدولية التي صادقت عليها الدولة."
"Class Authorization","التصريح الفئوي","يقصد به تصريح تردد راديوي يسمح لأي شخص بتشغيل أجهزة اتصالات راديوية معينة في نطاقات معينة حسب الشروط والمعايير المحددة من قبل الهيئة."
"Temporary Authorization","التصريح المؤقت","يقصد به التصريح الصادر لمدة تصل إلى 90 يوماً."
"Temporary Admission","التصريح المؤقت","يعني إذن رسمي ممنوح من قبل الهيئة ويتم بموجبة الإفراج عن أجهزة الاتصالات المحلية بشكل مؤقت ضمن شروط الاستخدام لغرض معين ووقت محدد أجهزة الاتصالات التي يتم الإفراج منها بصورة مؤقتة لا يجوز طرحها أو توفيرها في أسواق الدولة دون اتباع الإجراءات اللازمة."
"Radio Frequency Identification","التعرف بواسطة التردد الراديوي","يقصد به نظام يمكِّن نقل البيانات بواسطة جهاز مرسل مستجيب (الوسم) عبر إشارات راديوية يستقبلها مستنطق تعرف بواسطة التردد الراديوي، وتجري معالجتها وفقاً لمتطلبات طلب بعينه."
"Marketing Definitions","التعريفات التسويقية","الفئات العريضة من خدمات الاتصالات التي تعتقد الهيئة بأنها ذات جدوى للمتعاملين والمستخدمة لضمان استعمال مصدر الأرقام المناسب للخدمة."
"Suspend","التعليق","يقصد به الفصل الجزئي لخدمات الهاتف المتحرك الخاصة بمشترك الهاتف المتحرك بحيث لا يستطيع مشترك الهاتف المتحرك إجراء مكالمات صادرة (ما عدا أرقام الطوارئ أو المرخص له الذي قام مشترك الهاتف المتحرك بإبرام عقد اشتراك الهاتف المتحرك معه) أو إرسال الرسائل النصية، كما يكون لكلمة معلق معنی مشابه، وللتوضيح يجوز لمشترك الهاتف المتحرك الذي تم تعليق خدمات هاتفه المتحرك استلام المكالمات والرسائل النصية."
"Temporary Instructions","التعلیمات المؤقتة","التعلیمات التي قد تصدرھا الھیئة عملاً بالمادة الفرعیة 3.7 من أنظمة حماية المستهلك."
"Allotment","التعيين","يعني تدوين قناة راديوية معينة في خطة اعتمدها مؤتمر مختص، حتى تستعملها إدارة أو عدة إدارات لخدمة اتصالات راديوية فضائية أو للأرض في بلد واحد أو في عدة بلدان، وفي منطقة واحدة أو في عدة مناطق جغرافية محددة، ووفقاً لشروط خاصة."
"Received signal code power","التغطية الخارجية للجيل الثالث - قوة رمز الإشارة المستقبلة (RSCP)","تغطية الجيل الثالث مقاسة باستخدام قوة رمز الإشارة المستقبلة RSCP كما هو محدد في المعيار ETSI TS 125 225"
"Received signal strength indicator","التغطية الخارجية للجيل الثاني - مؤشر قوة الإشارة المستقبلة (RSSI)","تغطية الجيل الثاني تقاس باستخدام مؤشر قوة الإشارة المستقبلة RSSI كما هو محدد في المعيار ETSI TS 125 225"
"Received signal received power","التغطية الخارجية للجيل الرابع - قوة رمز الإشارة المستقبلة (RSRP)","تغطية الجيل الرابع تقاس باستخدام قوة رمز الإشارة المستقبلة RSRP كما هو محدد في المعيار ETSI TS 136.214"
"Change in Control","التغير في السيطرة","يقصد به أي معاملة أو صفقة بيع أو عقد أو إعادة الرسملة أو غيره من عمليات إعادة هيكلة أو دمج مما يسفر عن التغير في السيطرة على المرخص له، بما في ذلك أية معاملة أو سلسلة من معاملات تتم بعد تاريخ نفاذ هذه الرخصة، وتجعل مالكي الأسهم أو السندات ذات حقوق التصويت أو أصحاب حقوق الملكية في رأس مال الشركة بعد تأسيسها مباشرة، يملكون ما يقل عن أغلبية الأصوات أو حقوق الملكية في المرخص له بعد إتمام المعاملة أو سلسلة المعاملات، حسب المقتضى."
"Change in control of the Registrar’s business of providing Registrar Service","التغير في السيطرة على أعمال المسجل في مجال تقديم خدمات المسجل","تعني الحالة التي تصبح فيها أعمال المسجل في مجال تقديم خدماته كمسجل، سواء كانت تتم من مؤسسة فرعية مملوكة بالكامل له أو من منشأة ذات صلة أو مرتبطة به أو تتم مباشرة من قبل المسجل، خاضعة لأي عملية وفقا لتعليمات طرف ثالث سواء كان ذلك نتيجة لتغيير في ملكية الأعمال أو ملكية أي منشأة يتم تشغيل هذه الأعمال فيها، أو نتيجة لأي عقد أو أي نوع آخر من الارتباطات التعاقدية التي يعقدها المسجل مع ذلك الطرف الثالث."
